date,ASSAULT,HARASSMENT,LARCENY,MARIJUANA,MISCHIEF
17-Jan-01,939.0,1026.0,3268.0,270.0,243.0
17-Feb-01,789.0,912.0,2845.0,262.0,269.0
17-Mar-01,1020.0,1134.0,3436.0,318.0,243.0
17-Apr-01,1039.0,1092.0,3320.0,273.0,274.0
17-May-01,1096.0,1183.0,3418.0,376.0,319.0
17-Jun-01,1077.0,1169.0,3638.0,384.0,328.0
17-Jul-01,1147.0,1073.0,3642.0,325.0,367.0
17-Aug-01,1115.0,1227.0,3847.0,353.0,331.0
17-Sep-01,1010.0,1096.0,3396.0,331.0,256.0
17-Oct-01,1101.0,1128.0,3452.0,339.0,294.0
17-Nov-01,929.0,1029.0,3242.0,278.0,237.0
17-Dec-01,905.0,933.0,3219.0,249.0,267.0
