,PD_DESC
LARCENY,40723
HARASSMENT,13002
ASSAULT,12167
AGGRAVATED_HARASSMENT,4113
MARIJUANA,3758
MISCHIEF,3428
CRIMINAL_MISCHIEF_TH,3361
CONTROLLED_SUBSTANCE,2920
ROBBERY,2907
CRIMINAL_MISCHIEF,2535
BURGLARY,2387
FORGERY,2068
FRAUD,1751
TRESPASS,1461
WEAPONS,1265
SEXUAL_ABUSE,1176
MENACING,1122
LEAVING_SCENE-ACCIDENT-PERSONA,980
WEAPONS_POSSESSION,912
INTOXICATED_DRIVING,886
VIOLATION_OF_ORDER_OF_PROTECTI,850
CRIMINAL_CONTEMPT,844
RESISTING_ARREST,645
RECKLESS_ENDANGERMENT,491
STOLEN_PROPERTY,462
CONTEMPT,451
PUBLIC_ADMINISTATION,419
STRANGULATION_ST,413
THEFT_OF_SERVICES,404
OBSTR_BREATH/CIRCUL,388
LEWDNESS,322
IMPERSONATION,306
TAMPERING,287
CHILD,282
NY_STATE_LAWS,260
BRIBERY,256
RAPE,251
UNAUTHORIZED_USE_VEHICLE,247
UNAUTH._SALE_OF_TRANS._SERVICE,227
ACCOSTING,170
CRIMINAL_MIS__&,144
FALSE_REPORT_UNCLASSIFIED,133
ARSON,129
WEAPONS_POSSESSION__&,117
BURGLARS_TOOLS,102
GAMBLING,101
SODOMY,98
OBSCENE_MATERIAL_-_UNDER__YE,90
TRAFFIC,86
ADM.CODE,76
PETIT_LARCENY-CHECK_FROM_MAILB,64
SEXUAL_MISCONDUCT,48
nan,38
IMPRISONMENT,38
BAIL_JUMPING,35
AGGRAVATED_CRIMINAL_CONTEMPT,34
THEFT,34
JOSTLING,33
DRUG_PARAPHERNALIA,30
CUSTODIAL_INTERFERENCE,30
MAKING_TERRORISTIC_THREAT,30
PUBLIC_ADMINISTRATION,27
COERCION,23
COMPUTER_TAMPER/TRESSPASS,23
STOLEN_PROPERTY-MOTOR_VEH_ND,22
POSSESSION_HYPODERMIC_INSTRUME,19
ABANDON_ANIMAL,19
COMPUTER_UNAUTH._USE/TAMPER,19
MENACING_ST_DEGREE_(VICT_NOT,18
TAX_LAW,17
RECKLESS_ENDANGERMENT_OF_PROPE,16
AGRICULTURE_&_MARKETS_LAW,16
MENACING_ST_DEGREE_(VICT_PEAC,16
FALSE_REPORT,15
TORTURE/INJURE_ANIMAL_CRUELTY,15
FALSE_REPORT_BOMB,14
ALCOHOLIC_BEVERAGE_CONTROL_LAW,12
FIREWORKS,12
DISORDERLY_CONDUCT,12
SALE_SCHOOL_GROUNDS,11
CAUSE_SPI/KILL_ANIMAL,11
RECKLESS_DRIVING,11
FORGERY-ILLEGAL_POSSESSION,10
PROSTITUTION,8
IMPAIRED_DRIVING,8
PUBLIC_HEALTH_LAW,7
BAIL_JUMPING__&,7
PUBLIC_SAFETY,7
CRIMINAL_DISPOSAL_FIREARM__&,7
OBSCENITY,6
INCOMPETENT_PERSON,6
CHILD_ABANDONMENT,6
VEHICULAR_ASSAULT_(INTOX_DRIVE,5
PETIT_LARCENY_OF_ANIMAL,5
SALE_OF_UNAUTHORIZED_RECORDING,5
SUPP._ACT_TERR_ND,5
THEFT_OF_SERVICES-_CABLE_TV_SE,5
PROMOTING_A_SEXUAL_PERFORMANCE,5
AGGRAVATED_SEXUAL_ASBUSE,5
LOITERING,4
EXPOSURE_OF_A_PERSON,4
ASSEMBLY,4
SOLICITATION,4
ESCAPE,4
MATERIAL______________OFFENSIV,4
RIOT_/INCITING,3
CHECK,3
UNLAWFUL_SALE_SYNTHETIC_MARIJUANA,3
PARKR&R,3
CONSPIRACY,3
PERJURY,3
TERRORISM_PROVIDE_SUPPORT,3
KIDNAPPING,3
A.B.C.,2
FALSE_ALARM_FIRE,2
GENERAL_BUSINESS_LAW_/_UNCLASSIFIED,2
PEDDLING,2
NEGLECT/POISON_ANIMAL,2
TAMPERING_WITH_A_WITNESS,1
GENERAL_BUSINESS_LAW,1
USE_OF_A_CHILD_IN_A_SEXUAL_PER,1
STOLEN_PROP-MOTOR_VEHICLE_RD,1
FAC._SEXUAL_OFFENSE_W/CONTROLL,1
HEALTH_CODE,1
CREDIT_CARD,1
LABOR_LAW,1
IMITATION_PISTOL/AIR_RIFLE,1
USURY,1
DIS._CON.,1
SEX_TRAFFICKING,1
CONFINING_ANIMAL_IN_VEHICLE/SHELTER,1
SALES_OF_PRESCRIPTION,1
SEX_CRIMES,1
DRUG,1
INAPPROPIATE_SHELTER_DOG_LEFT,1
HIND_PROSEC._TERR,1
NUISANCE,1
