CMPLNT_FR_DT,CMPLNT_FR_TM,OFNS_DESC,LOC_OF_OCCUR_DESC,Latitude,Longitude
12/31/2015,23:36:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.697338138,-73.784556739
12/30/2015,02:45:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.877554428,-73.872939471
12/28/2015,17:30:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.595161807,-73.937981421
12/28/2015,17:30:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.595161807,-73.937981421
12/26/2015,16:30:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.697367986,-73.791826985
12/19/2015,16:04:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.676051596,-73.934611088
12/19/2015,06:11:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.678410246,-73.926961963
12/24/2015,22:55:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.858045026,-73.904102113
12/20/2015,09:21:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.863507284,-73.904466615
12/17/2015,21:09:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.685610573,-73.942912796
12/14/2015,04:15:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.645014517,-74.07720963
12/13/2015,00:28:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.687864317,-73.949390484
12/11/2015,21:42:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.643647334,-73.952688708
12/11/2015,20:00:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.575442769,-73.987794763
12/10/2015,07:00:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.848353408,-73.858660142
12/09/2015,08:56:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.539296108,-74.220783054
12/07/2015,21:37:00,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,40.635970966,-74.012655151
12/06/2015,06:39:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.838986067,-73.922770541
12/05/2015,16:36:00,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,40.652693383,-73.91360164
